Date,Price,Open,High,Low,Vol.,Change %
11/4/2021,148.27,147.12,149.73,146.31,38.41M,1.14%
11/3/2021,146.6,145.9,146.67,144.59,27.49M,0.80%
11/2/2021,145.43,144.58,146.61,144.34,33.48M,1.35%
11/1/2021,143.5,148.05,148.05,143.23,46.92M,-3.07%
10/29/2021,148.05,145.08,148.24,144.65,43.32M,1.51%
10/28/2021,145.85,147.13,147.16,144.63,36.21M,-0.25%
10/27/2021,146.22,139.4,148.65,139.4,85.78M,4.96%
10/26/2021,139.31,139.26,140.08,138.3,49.24M,1.35%
10/25/2021,137.45,137.55,138,135.42,34.41M,-0.09%
10/22/2021,137.57,139.15,140.58,136.06,50.59M,-3.04%
10/21/2021,141.89,141.77,142.16,140.5,26.29M,0.08%
10/20/2021,141.77,143.34,143.55,141.38,23.29M,-1.02%
10/19/2021,143.24,143.39,143.66,142.6,20.16M,0.32%
10/18/2021,142.78,141.08,142.8,141.07,20.40M,1.00%
10/15/2021,141.37,141.61,141.72,140.76,30.27M,0.15%
10/14/2021,141.15,139.47,141.34,138.82,31.93M,2.59%
10/13/2021,137.58,137.4,138,136.52,19.66M,0.83%
10/12/2021,136.45,139.48,139.51,135.76,36.33M,-1.77%
10/11/2021,138.91,139.29,140.71,138.86,17.95M,-0.62%
10/8/2021,139.79,139.58,140.33,139.22,26.53M,0.40%
10/7/2021,139.23,138.89,140.04,138.65,25.11M,1.21%
10/6/2021,137.57,134.75,137.75,134.55,24.36M,1.13%
10/5/2021,136.02,134.04,137.22,134.04,32.40M,1.77%
10/4/2021,133.66,135.96,135.96,131.05,51.20M,-2.11%
10/1/2021,136.54,134.45,136.91,134.07,35.36M,2.14%
9/30/2021,133.68,134.26,135.54,133.56,38.03M,-0.50%
9/29/2021,134.35,136.98,137.15,133.87,30.85M,-1.09%
9/28/2021,135.83,138.65,139.1,135.36,45.77M,-3.72%
9/27/2021,141.07,140.8,141.94,140.07,21.88M,-0.80%
9/24/2021,142.21,140.54,142.33,140.24,22.98M,0.71%
9/23/2021,141.22,140.99,141.7,140.4,20.95M,0.66%
9/22/2021,140.28,139.3,140.89,138.55,25.06M,0.90%
9/21/2021,139.03,139.75,140.01,138.28,25.33M,0.23%
9/20/2021,138.72,138.16,139,136.32,46.52M,-1.48%
9/17/2021,140.8,143.03,143.45,140.47,53.38M,-1.96%
9/16/2021,143.61,143.95,144.3,142.4,26.20M,-0.57%
9/15/2021,144.43,142.77,144.45,141.35,27.41M,1.32%
9/14/2021,142.54,143,143.36,141.75,19.67M,0.15%
9/13/2021,142.33,141.95,142.95,141.25,22.09M,1.03%
9/10/2021,140.88,144.21,144.72,140.74,36.84M,-1.86%
9/9/2021,143.54,143.84,144.31,143.18,15.32M,-0.10%
9/8/2021,143.69,144.1,144.4,143,18.35M,-0.41%
9/7/2021,144.28,143.83,144.57,143.62,20.13M,0.38%
9/3/2021,143.74,143.08,144.15,142.4,19.85M,0.32%
9/2/2021,143.29,145.22,145.52,143.18,32.36M,-1.33%
9/1/2021,145.22,145,146.25,144.88,21.94M,0.36%
8/31/2021,144.7,145.15,145.17,144.28,22.45M,0.07%
8/30/2021,144.59,144.4,145.97,144.16,24.43M,0.41%
8/27/2021,144,141.65,144.51,141.5,28.78M,1.81%
8/26/2021,141.44,141.75,142.42,141.36,20.61M,-0.45%
8/25/2021,142.08,141.63,142.19,141.38,15.85M,0.58%
8/24/2021,141.26,140.61,142.08,140.34,19.27M,0.87%
8/23/2021,140.04,137.97,140.87,137.61,28.45M,1.90%
8/20/2021,137.43,136,137.55,135.25,31.19M,1.29%
8/19/2021,135.68,134.44,136.35,134.25,21.78M,0.17%
8/18/2021,135.45,136.5,137.1,135.32,19.26M,-0.89%
8/17/2021,136.66,137.75,138.27,136.08,21.72M,-1.19%
8/16/2021,138.31,137.52,138.36,135.3,22.40M,0.42%
